Neighbourhood Name,Case Count
Yorkdale-Glen Park,120
York University Heights,286
Yonge-St.Clair,19
Yonge-Eglinton,12
Wychwood,68
Woodbine-Lumsden,19
Woodbine Corridor,17
Woburn,231
Willowridge-Martingrove-Richview,61
Willowdale West,35
Willowdale East,54
Wexford/Maryvale,58
Weston-Pellam Park,20
Weston,205
Westminster-Branson,141
West Humber-Clairville,306
West Hill,87
Waterfront Communities-The Island,110
Victoria Village,37
University,19
Trinity-Bellwoods,35
Thorncliffe Park,85
Thistletown-Beaumond Heights,56
The Beaches,13
Taylor-Massey,49
Tam O'Shanter-Sullivan,53
Stonegate-Queensway,35
Steeles,27
St.Andrew-Windfields,8
South Riverdale,30
South Parkdale,163
Scarborough Village,92
Rustic,76
Runnymede-Bloor West Village,14
Rouge,215
Rosedale-Moore Park,17
Roncesvalles,27
Rockcliffe-Smythe,92
Rexdale-Kipling,85
Regent Park,23
Princess-Rosethorn,16
Pleasant View,18
Playter Estates-Danforth,8
Pelmo Park-Humberlea,48
Parkwoods-Donalda,49
Palmerston-Little Italy,22
Old East York,17
Oakwood Village,75
Oakridge,42
O'Connor-Parkview,52
North St. James Town,139
North Riverdale,14
Niagara,43
Newtonbrook West,194
Newtonbrook East,15
New Toronto,69
Mount Pleasant West,117
Mount Pleasant East,11
Mount Olive-Silverstone-Jamestown,237
Mount Dennis,135
Moss Park,158
Morningside,135
Mimico (includes Humber Bay Shores),100
Milliken,24
Markland Wood,17
Maple Leaf,99
Malvern,158
Long Branch,20
Little Portugal,30
Leaside-Bennington,19
Lawrence Park South,23
Lawrence Park North,13
Lansing-Westgate,19
Lambton Baby Point,7
L'Amoreaux,63
Kingsway South,16
Kingsview Village-The Westway,170
Kensington-Chinatown,78
Kennedy Park,73
Keelesdale-Eglinton West,42
Junction Area,27
Islington-City Centre West,226
Ionview,29
Humewood-Cedarvale,20
Humbermede,105
Humber Summit,89
Humber Heights-Westmount,178
Hillcrest Village,58
Highland Creek,21
High Park-Swansea,41
High Park North,36
Henry Farm,50
Guildwood,101
Greenwood-Coxwell,13
Glenfield-Jane Heights,333
Forest Hill South,19
Forest Hill North,27
Flemingdon Park,82
Etobicoke West Mall,68
Eringate-Centennial-West Deane,30
Englemount-Lawrence,116
Elms-Old Rexdale,51
Eglinton East,64
Edenbridge-Humber Valley,52
East End-Danforth,19
Dufferin Grove,49
Downsview-Roding-CFB,295
Dovercourt-Wallace Emerson-Junction,61
Dorset Park,107
Don Valley Village,46
Danforth-East York,18
Danforth,7
Corso Italia-Davenport,41
Cliffcrest,37
Clanton Park,47
Clairlea-Birchmount,133
Church-Yonge Corridor,64
Centennial Scarborough,29
Casa Loma,22
Caledonia-Fairbank,26
Cabbagetown-South St. James Town,34
Brookhaven-Amesbury,102
Broadview North,21
Bridle Path-Sunnybrook-York Mills,14
Briar Hill - Belgravia,69
Blake-Jones,10
Black Creek,201
Birchcliffe-Cliffside,129
Bendale,95
Beechborough-Greenbrook,64
Bedford Park-Nortown,50
Bayview Woods-Steeles,81
Bayview Village,24
Bay Street Corridor,40
Bathurst Manor,98
Banbury-Don Mills,29
Annex,72
Alderwood,32
Agincourt South-Malvern West,47
Agincourt North,53
Missing Address/Postal Code ,2048
